0xNatoshi_jev-codex-router|229||0|0|0|4|1|0.25(x6) 0.35(x4) 0.20(x4) 
AbdelStark_awesome-typesafe|150||1|0|0|0|0|
AbdelStark_heist-one|233|js,ts,|8|0|0|0|1|0.95(x2) 0.82(x2) 0.72(x2) 
AbdelStark_jev-benchmarks|204||0|1|0|0|1|0.24(x4) 0.17(x4) 0.34(x3) 
AboveColin_HA-Jev|222|js,|13|2|2|0|1|0.81(x5) 0.60(x5) 0.55(x4) 
AboveColin_jevclient|86||3|1|1|1|1|0.97(x1) 0.94(x1) 
AlexBabescu_ActionJev|112||6|0|0|5|1|0.65(x3) 0.95(x2) 
Anil-matcha_awesome-jev-by-typesafe|474||6|5|5|1|1|0.65(x5) 0.90(x4) 0.60(x4) 
AnotiaWang_awesome-jev|228||2|0|0|2|0|
AntonioCoppe_jev-harness|138|js,|94|6|4|1|1|0.55(x76) 0.45(x30) 0.65(x15) 
BrendanH18_jev-lab|156|py,|19|2|2|4|1|0.95(x5) 0.97(x3) 0.90(x3) 
BunsDev_clarity-judge|151|js,ts,|11|8|0|1|1|0.95(x4) 0.25(x4) 0.82(x3) 
BunsDev_typesafe-ai-playground|179|js,py,ts,|26|39|5|3|1|0.99(x26) 0.85(x19) 0.95(x17) 
Butochnikov_laravel-typesafe-jev|153|js,|2|2|2|3|1|
Charlyhno-eng_jev-document-classification|87|js,ts,|0|1|0|0|1|0.75(x3) 0.92(x1) 0.91(x1) 
ChetasLua_jevmeter|300||4|0|0|2|1|0.97(x11) 0.96(x10) 0.35(x7) 
DECRUX9812_typesafe-skill-router|158|py,|5|0|0|2|1|0.30(x9) 0.95(x7) 0.27(x6) 
DevMortimer_pi-warden|221|js,|14|6|0|3|1|0.95(x42) 0.91(x15) 0.14(x11) 
Dicklesworthstone_skillranker|1971||10|0|0|9|1|0.30(x11) 0.20(x7) 0.80(x4) 
EdytaKucharska_ticket-quest|75|js,ts,|8|5|0|2|1|0.25(x6) 0.35(x4) 0.75(x3) 
EugeneBoondock_jevsql|131|js,|1|0|0|2|1|
FirasSX914_calibre|442||3|2|0|0|0|0.70(x11) 0.37(x10) 0.95(x9) 
Foadsf_jev-for-engineers|149|py,|11|0|0|1|1|0.92(x4) 0.85(x4) 0.60(x4) 
Friedjof_jev-mobile|349||0|3|0|0|1|0.99(x5) 0.80(x2) 0.70(x2) 
GhalebDweikat_winnow|346||9|0|0|0|1|0.15(x6) 0.95(x4) 0.26(x3) 
GiesN_typesafe-jev-workflow|58|py,|1|2|1|0|1|
GodsBoy_jev-agent-skill-router|185||7|0|0|2|1|0.65(x18) 0.59(x13) 0.25(x11) 
HackSing_jev-report|117|cs,py,|14|0|0|3|0|0.80(x11) 0.35(x9) 0.99(x7) 
Heman10x-NGU_Verdict-open-jev|355||15|10|4|0|1|0.85(x17) 0.25(x8) 0.50(x6) 
Hulupeep_Specflow|317|js,|1|0|2|1|1|0.15(x64) 0.13(x62) 0.16(x34) 
HyunjunJeon_jev-judgment|51||4|0|0|6|0|0.85(x4) 0.99(x2) 0.96(x1) 
Icohen007_jev-play-ping-pong|219|js,|0|0|0|1|1|0.94(x2) 0.85(x2) 0.80(x1) 
JacobLinCool_jev-paper-judge|207|js,|2|1|1|2|0|0.25(x5) 0.35(x4) 0.75(x3) 
JoshuaSP_open-jev|169|py,|5|0|0|0|1|0.29(x3) 0.27(x3) 0.41(x2) 
KesavanKing_jev-browser|83||0|0|0|1|1|
Kevthetech143_super-jev|302|js,|13|18|4|4|1|0.80(x62) 0.99(x58) 0.95(x49) 
MongLong0214_jev-gate|259|js,ts,|0|4|0|1|1|0.21(x7) 0.19(x7) 0.57(x5) 
NiazMorshed2007_jev-review|330|js,|7|3|0|3|1|0.35(x2) 0.95(x1) 0.86(x1) 
Obrais-cloud_typesafe-mcp|36|py,|2|0|0|1|0|0.94(x2) 0.70(x2) 0.87(x1) 
OmniJev_awesome-jev|211|js,|1|0|0|0|0|0.69(x2) 0.99(x1) 0.98(x1) 
RomanSlack_jev-drone|285|py,|3|1|2|0|0|0.35(x6) 0.45(x5) 0.14(x5) 
ShivamPansuriya_jev-skill-gate|282|js,|1|0|0|4|1|0.99(x104) 0.98(x62) 0.95(x15) 
StefanoITA_ts-jev-cost-calculator|175||2|0|0|0|1|0.63(x3) 0.87(x2) 0.76(x2) 
TheoLeeCJ_openjev|139||3|0|1|0|1|0.84(x3) 0.81(x3) 0.70(x3) 
TheoOliveira_pi-jev|139|js,|14|6|1|0|1|0.65(x3) 0.81(x2) 0.55(x2) 
TianyuCodings_NanoJev|172|js,|28|2|0|0|1|0.75(x30) 0.50(x27) 0.27(x24) 
akash-kamat_system-one-gemma|323|js,py,|2|0|0|0|0|0.78(x1) 0.62(x1) 0.45(x1) 
alexshpunt_pi-agent-foreman|208|js,ts,|1|1|0|0|1|0.82(x2) 0.52(x2) 0.83(x1) 
aliaihub_awesome-jev-usecases|96||30|11|10|1|0|0.25(x13) 0.85(x7) 0.91(x6) 
altryne_jevify|219||9|0|0|3|0|0.15(x2) 0.97(x1) 0.96(x1) 
anilsenay_jev|396|go,|9|1|1|3|1|0.99(x2) 0.93(x1) 0.53(x1) 
blakestone-x_jev-mcp|182||8|1|1|0|1|0.80(x14) 0.75(x8) 0.95(x5) 
bnsd55_jevmlx|136||4|0|0|0|1|0.25(x14) 0.75(x12) 0.95(x8) 
brainstormity_Jev-Moderation-Bot|188|py,|8|3|0|1|1|0.95(x12) 0.99(x10) 0.98(x10) 
browser-use_jev-ultrafast|138||1|0|0|1|1|0.25(x1) 0.15(x1) 
can1357_oh-my-pi|698|js,|8|47|13|4|1|0.25(x147) 0.75(x92) 0.15(x61) 
cardotrejos_jev-ad-preflight|2||0|0|0|0|0|
cardotrejos_jev-should-i-apply|2||0|0|0|0|0|
cardotrejos_jev-user-jury|2||0|0|0|0|0|
clankagent_pi-jev|109|js,|8|2|0|3|1|0.85(x4) 0.95(x3) 
compozy_yoshi|297|js,|4|2|0|0|1|0.95(x18) 0.99(x17) 0.31(x17) 
dabit3_jev-experiments|3|js,|79|36|6|44|1|0.95(x35) 0.85(x22) 0.55(x15) 
dannote_jev|215|ex,|3|0|0|3|1|0.85(x7) 0.95(x3) 0.93(x3) 
daseinlabs_open-jev|188||2|0|1|0|1|0.15(x3) 0.99(x2) 0.98(x2) 
dbreunig_building-with-jev-skill|43||2|1|1|0|0|0.85(x1) 0.75(x1) 
derinworks_penr-oz-jev-syslog-analyzer|2||0|0|0|0|0|
devagrawal09_jev-code|202|js,|17|14|9|0|1|0.85(x4) 0.75(x3) 0.95(x2) 
devagrawal09_jev-review|89|js,|3|0|0|0|0|0.55(x1) 
devanshbatham_commit-miner|60|js,ts,|7|0|0|2|1|0.99(x1) 0.97(x1) 0.65(x1) 
distributedlabs_magic-8-ball|51|js,ts,|1|0|0|0|1|0.61(x2) 0.99(x1) 0.27(x1) 
dnakhoa_jev-deferred-crispification|160||2|0|0|0|0|0.78(x13) 0.79(x10) 0.80(x7) 
doeixd_jev-pref|192|js,|8|2|0|2|1|
droidrun_mobile-jev|131|js,|0|0|0|1|1|0.30(x1) 
ekzhang_openjev-sglang|205|py,|8|0|0|0|1|0.99(x2) 0.91(x1) 0.73(x1) 
fabricioctelles_skills|759|js,|10|0|1|0|1|0.30(x10) 0.55(x7) 0.25(x7) 
fatwang2_awesome-jev|55|js,|0|0|0|0|1|
fatwang2_jev-review-action|134|js,|0|0|0|5|1|
fhshaik_typesafe-mario|120||2|1|1|0|1|0.42(x2) 0.66(x1) 
furedea_reflex-state|255|js,ts,|12|5|0|0|1|0.83(x8) 0.95(x5) 0.97(x2) 
gamesonrblx_Jevbridge|394|js,|13|6|2|2|1|0.95(x2) 0.91(x2) 0.35(x2) 
gargpratyush_jev-router|275|js,|0|0|0|0|1|0.91(x2) 0.98(x1) 0.82(x1) 
gtaras7_typesafe-jev|22||18|8|3|4|1|0.15(x22) 0.65(x20) 0.95(x16) 
hamakyo_jev-starter|221|js,ts,|33|6|4|0|1|0.95(x21) 0.65(x15) 0.96(x9) 
haseeb-heaven_jev-system-one|176||3|1|1|0|1|0.96(x1) 0.94(x1) 0.81(x1) 
hellogumbo_awesome-jev|499|js,|1|0|0|4|0|
himomohi_aside-jev|147||5|1|1|0|1|
hr98w_jev-visual|100||9|2|0|0|1|0.75(x1) 0.45(x1) 
hugo-alves_jev-router-playground|211|cs,js,|2|0|0|5|0|
iammrduncan_typesafe-ai-benchmark|162|js,|22|7|5|2|1|0.99(x10) 0.95(x5) 0.75(x3) 
iamvatsalpatel_tiershift|296|js,ts,|9|4|1|0|1|0.95(x12) 0.37(x3) 0.15(x3) 
jarrodwatts_jev-trader|70|js,ts,|0|1|0|0|0|0.99(x5) 0.62(x3) 0.77(x2) 
jkudish_jev-browser|210|js,|3|0|0|0|1|0.85(x6) 0.99(x1) 
jkudish_jev-mcp|218|js,|2|0|0|0|1|0.99(x5) 0.75(x4) 0.25(x3) 
jomatsu_pi-jev-auto-mode|285|js,ts,|9|0|0|2|1|0.99(x23) 0.97(x20) 0.90(x20) 
jon-devlapaz_jev-me|56||2|0|0|0|0|0.82(x2) 0.71(x1) 0.52(x1) 
jtsang4_jev-cli|129|js,|2|1|1|0|1|0.98(x7) 0.99(x3) 0.78(x3) 
kikoncuo_jevfire|380||0|0|1|0|1|0.29(x20) 0.68(x8) 0.76(x5) 
kitze_skillbox|313|js,ts,|0|0|0|4|1|0.95(x2) 0.19(x2) 0.89(x1) 
kitze_unclutter|274|js,ts,|0|3|0|3|1|0.99(x4) 0.89(x2) 0.96(x1) 
kshetrajna12_reflex|195||15|2|0|0|1|0.72(x2) 0.26(x2) 0.97(x1) 
kunchenguid_firstmate|254||0|0|0|4|1|0.84(x57) 0.82(x42) 0.81(x42) 
leepokai_jev-guard|206|js,|5|2|0|2|1|0.75(x5) 0.99(x3) 0.98(x3) 
legacybridge-tech_cursor-typesafe-jev|0||0|0|0|0|0|
legacybridge-tech_pi-typesafe-jev|319|js,|6|4|0|4|1|0.92(x6) 0.85(x6) 0.82(x4) 
leonaaardob_fast-dev-compaction|174|js,|10|2|2|5|1|0.45(x2) 0.25(x2) 0.95(x1) 
lhemerly_mcts-agent|268|py,|8|1|1|0|1|0.85(x4) 0.95(x1) 
mateonunez_jod|248|js,|13|3|1|0|1|0.84(x5) 0.99(x3) 0.83(x2) 
mhmdkzr_jev|361|go,|7|1|1|2|1|0.95(x1) 
milanboers_jev-plays-pokemon|241||4|1|0|0|1|0.99(x3) 0.98(x2) 0.76(x2) 
milokuo_tagtrim|40||0|0|0|0|0|
misaalya_snbt-jev-bench|210||4|0|0|4|0|0.95(x3) 0.80(x2) 0.59(x2) 
monotykamary_pi-fabric|181|js,ts,|20|9|9|5|1|0.25(x40) 0.65(x19) 0.80(x17) 
ndolinschi_jev-wave|0||3|0|0|2|0|0.84(x2) 0.99(x1) 0.59(x1) 
nidhi-singh02_agent-router|393|ex,js,ts,|3|2|0|0|1|0.85(x12) 0.41(x9) 0.40(x7) 
